Year,Actor,Character,Film
2000,George Clooney,Ulysses Everett McGill,"O Brother, Where Art Thou?"
2000,Jim Carrey,The Grinch,How the Grinch Stole Christmas
2000,John Cusack,Rob Gordon,High Fidelity
2000,Robert De Niro,Jack Byrnes,Meet the Parents
2000,Mel Gibson,Nick Marshall,What Women Want
2001,Gene Hackman,Royal Tenenbaum,The Royal Tenenbaums
2001,Hugh Jackman,Leopold Hausmann,Kate & Leopold
2001,Ewan McGregor,Christian,Moulin Rouge!
2001,John Cameron Mitchell,Hedwig Robinson,Hedwig and the Angry Inch
2001,Billy Bob Thornton,Terry Lee Collins,Bandits
2002,Richard Gere,Billy Flynn,Chicago
2002,Nicolas Cage,Charlie Kaufman / Donald Kaufman,Adaptation.
2002,Kieran Culkin,"Jason ""Igby"" Slocumb Jr.",Igby Goes Down
2002,Hugh Grant,Will Freeman,About a Boy
2002,Adam Sandler,Barry Egan,Punch-Drunk Love
2003,Bill Murray,Bob Harris,Lost in Translation
2003,Jack Black,Dewey Finn,School of Rock
2003,Johnny Depp,Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl
2003,Jack Nicholson,Harry Sanborn,Something's Gotta Give
2003,Billy Bob Thornton,Willie T. Stokes,Bad Santa
2004,Jamie Foxx,Ray Charles,Ray
2004,Jim Carrey,Joel Barish,Eternal Sunshine of the Spotless Mind
2004,Paul Giamatti,Miles Raymond,Sideways
2004,Kevin Kline,Cole Porter,De-Lovely
2004,Kevin Spacey,Bobby Darin,Beyond the Sea
2005,Joaquin Phoenix,Johnny Cash,Walk the Line
2005,Pierce Brosnan,Julian Noble,The Matador
2005,Jeff Daniels,Bernard Berkman,The Squid and the Whale
2005,Johnny Depp,Willy Wonka,Charlie and the Chocolate Factory
2005,Nathan Lane,Max Bialystock,The Producers
2005,Cillian Murphy,"Patrick ""Kitten"" Braden",Breakfast on Pluto
2006,Sacha Baron Cohen,Borat Sagdiyev,Borat
2006,Johnny Depp,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest
2006,Aaron Eckhart,Nick Naylor,Thank You for Smoking
2006,Chiwetel Ejiofor,Lola Carter,Kinky Boots
2006,Will Ferrell,Harold Crick,Stranger than Fiction
2007,Johnny Depp,Sweeney Todd / Benjamin Barker,Sweeney Todd: The Demon Barber of Fleet Street
2007,Ryan Gosling,Lars Lindstrom,Lars and the Real Girl
2007,Tom Hanks,Charlie Wilson,Charlie Wilson's War
2007,Philip Seymour Hoffman,Jon Savage,The Savages
2007,John C. Reilly,Dewey Cox,Walk Hard: The Dewey Cox Story
2008,Colin Farrell,Ray,In Bruges
2008,Javier Bardem,Juan Antonio,Vicky Cristina Barcelona
2008,James Franco,Saul Silver,Pineapple Express
2008,Brendan Gleeson,Ken Daley,In Bruges
2008,Dustin Hoffman,Harvey Shine,Last Chance Harvey
2009,Robert Downey Jr.,Sherlock Holmes,Sherlock Holmes
2009,Matt Damon,Mark Whitacre,The Informant!
2009,Daniel Day-Lewis,Guido Contini,Nine
2009,Joseph Gordon-Levitt,Tom Hansen,(500) Days of Summer
2009,Michael Stuhlbarg,Larry Gopnik,A Serious Man
