Year,Actress,Character,Film
2020,Andra Day,Billie Holiday,The United States vs. Billie Holiday
2020,Viola Davis,Ma Rainey,Ma Rainey's Black Bottom
2020,Vanessa Kirby,Martha Weiss,Pieces of a Woman
2020,Frances McDormand,Fern,Nomadland
2020,Carey Mulligan,"Cassandra ""Cassie"" Thomas",Promising Young Woman
2021,Nicole Kidman,Lucille Ball,Being the Ricardos
2021,Jessica Chastain,Tammy Faye Bakker,The Eyes of Tammy Faye
2021,Olivia Colman,Leda Caruso,The Lost Daughter
2021,Lady Gaga,Patrizia Reggiani,House of Gucci
2021,Kristen Stewart,Princess Diana,Spencer
2022,Cate Blanchett,Lydia Tár,Tár
2022,Olivia Colman,Hilary Small,Empire of Light
2022,Viola Davis,General Nanisca,The Woman King
2022,Ana de Armas,Norma Jeane Mortenson / Marilyn Monroe,Blonde
2022,Michelle Williams,Mitzi Fabelman,The Fabelmans
2023,Annette Bening,Diana Nyad,Nyad
2023,Lily Gladstone,Mollie Burkhart,Killers of the Flower Moon
2023,Sandra Hüller,Sandra Voyter,Anatomy of a Fall
2023,Greta Lee,Nora Moon,Past Lives
2023,Carey Mulligan,Felicia Montealegre Bernstein,Maestro
2023,Cailee Spaeny,Priscilla Presley,Priscilla
